"","area","week","x"
"609",1,39,4425.42200873268
"610",2,39,9533.37790487362
"611",3,39,5379.43411694216
"612",4,39,7515.65864594132
"613",5,39,14591.4658206824
"614",6,39,15840.8278104892
"615",7,39,23439.6547923593
"616",8,39,24668.1284081343
"617",9,39,14712.0413140344
"618",10,39,16227.921261619
"619",11,39,11323.273936012
"620",12,39,5354.32857808593
"621",13,39,7712.15668134247
"622",14,39,4400.82897975785
"623",15,39,1240.20166312117
"624",16,39,825.057253566175
"625",1,40,4423.20926731122
"626",2,40,9513.00670897913
"627",3,40,5351.60377134772
"628",4,40,7489.06058224262
"629",5,40,14548.0474947695
"630",6,40,15866.4256230409
"631",7,40,23595.9186033468
"632",8,40,24602.6392489418
"633",9,40,14660.8215240478
"634",10,40,16124.3494939523
"635",11,40,11324.8043893659
"636",12,40,5379.36191406386
"637",13,40,7701.12929513312
"638",14,40,4426.11448406716
"639",15,40,1243.68756645338
"640",16,40,827.467076427206
"641",1,41,4415.47008976112
"642",2,41,9498.54369186037
"643",3,41,5320.16830374362
"644",4,41,7448.25902353931
"645",5,41,14487.168068963
"646",6,41,15889.0571808582
"647",7,41,23746.2214984365
"648",8,41,24558.9194312937
"649",9,41,14593.1745134089
"650",10,41,16003.3672773973
"651",11,41,11305.8629668075
"652",12,41,5396.26563500856
"653",13,41,7681.1937525788
"654",14,41,4446.93776712777
"655",15,41,1246.16279653932
"656",16,41,829.087437872235
"657",1,42,4401.91009494415
"658",2,42,9490.17694149699
"659",3,42,5285.53668561484
"660",4,42,7395.26372775356
"661",5,42,14409.7437987721
"662",6,42,15908.7495379064
"663",7,42,23887.6190241843
"664",8,42,24538.3168014517
"665",9,42,14509.6836088019
"666",10,42,15867.2035273653
"667",11,42,11267.6756685384
"668",12,42,5404.74384018612
"669",13,42,7652.59843009778
"670",14,42,4463.32068778343
"671",15,42,1247.44444243151
"672",16,42,830.742973563428
"673",1,43,4383.1421242465
"674",2,43,9487.08758609619
"675",3,43,5248.43463063781
"676",4,43,7330.59520973464
"677",5,43,14317.8680858514
"678",6,43,15924.8792438238
"679",7,43,24017.6464279482
"680",8,43,24540.5661706969
"681",9,43,14411.5740145495
"682",10,43,15718.3095114956
"683",11,43,11210.6731112599
"684",12,43,5405.23831191615
"685",13,43,7615.72653071313
"686",14,43,4475.14686700638
"687",15,43,1247.91240324342
"688",16,43,832.028553135606
"689",1,44,4359.34564895653
"690",2,44,9490.22458802609
"691",3,44,5209.25269545473
"692",4,44,7255.3722522688
"693",5,44,14211.9949220974
"694",6,44,15936.3976364225
"695",7,44,24134.0741198252
"696",8,44,24564.8253949086
"697",9,44,14301.1684248417
"698",10,44,15558.7959024125
"699",11,44,11136.1409829124
"700",12,44,5397.48104143743
"701",13,44,7571.47429361879
"702",14,44,4481.27782662512
"703",15,44,1247.66470398204
"704",16,44,832.81516182859
"705",1,45,4331.03423093225
"706",2,45,9498.32799079293
"707",3,45,5169.17026285708
"708",4,45,7171.00906925028
"709",5,45,14094.149979739
"710",6,45,15942.7587253157
"711",7,45,24234.2780677454
"712",8,45,24610.1267814045
"713",9,45,14179.6520502333
"714",10,45,15391.1526986079
"715",11,45,11044.7307803893
"716",12,45,5381.781302966
"717",13,45,7520.16731685166
"718",14,45,4482.68054090192
"719",15,45,1245.94511213854
"720",16,45,832.893584664009
"721",1,46,4298.35878166451
"722",2,46,9510.78882841234
"723",3,46,5127.41635563435
"724",4,46,7078.41604056278
"725",5,46,13966.2902704183
"726",6,46,15943.3967261623
"727",7,46,24315.8661993072
"728",8,46,24674.1659792797
"729",9,46,14048.4011204713
"730",10,46,15217.1301376366
"731",11,46,10938.7733713769
"732",12,46,5358.19288281059
"733",13,46,7463.14236285405
"734",14,46,4478.7098233481
"735",15,46,1243.78091952835
"736",16,46,832.620036891917
"737",1,47,4262.10174782527
"738",2,47,9527.66232811714
"739",3,47,5085.40662965343
"740",4,47,6979.78686618792
"741",5,47,13830.1897496876
"742",6,47,15938.6408393085
"743",7,47,24377.1096465367
"744",8,47,24754.6198247585
"745",9,47,13910.1340036614
"746",10,47,15039.8667150054
"747",11,47,10819.4744607954
"748",12,47,5327.40401488954
"749",13,47,7400.65609249295
"750",14,47,4470.28291527592
"751",15,47,1240.40240818357
"752",16,47,831.99376920561
"753",1,48,4222.37178375532
"754",2,48,9547.65694068881
"755",3,48,5043.33049518293
"756",4,48,6875.75795524729
"757",5,48,13687.2393310922
"758",6,48,15926.7714400179
"759",7,48,24417.1739380761
"760",8,48,24849.6428125502
"761",9,48,13765.9087650961
"762",10,48,14861.2723587546
"763",11,48,10688.568666021
"764",12,48,5289.75104177122
"765",13,48,7334.29845024418
"766",14,48,4456.56962307173
"767",15,48,1236.67885537675
"768",16,48,831.207142395627
"769",1,49,4180.39797840945
"770",2,49,9570.29223122252
"771",3,49,5002.1755159194
"772",4,49,6768.07634085546
"773",5,49,13539.7586243791
"774",6,49,15908.5615092901
"775",7,49,24434.3869716763
